zcp3m_stationary,zcp10y_spread,home_value_houses_nsw,rental_houses_nsw_stationary,gdp,cpi,asx200,forex
-0.002617449,0.02835,0.001953201,0,0.001043964,0.004922077,0.103312737,-0.024775288
-0.000162915,0.026066667,0.016408377,0,0.018399783,0.001635323,0.070776131,0.012129529
0.000378751,0.02596129,0.0149775,0,0.016590407,0.004889985,0.031843901,0.067339351
0.002240349,0.042936066,0.00435774,-0.006351762,0.012364379,0.006483005,-0.061843505,0.003125979
0.010733209,0.041278788,0.007964483,-0.012250569,0.007573048,0.006441246,0.013109364,0.006222795
0.017076263,0.028763492,0.00067945,0.001465474,0.009750515,0.007993648,-0.062033005,0.022086787
0.009442857,0.015444444,0.007226743,0.000372575,-0.000323203,0.015798117,-0.024847329,-0.041504873
-0.010417903,0.020385246,-0.005985554,-4.08672E-05,0.003648273,0.014008011,0.075850565,-0.076202316
-0.002442219,0.022129231,-0.032715218,0.000640759,0.022601583,0.012288941,0.049038245,0.079990199
-0.001371624,0.018042857,-0.016723758,0.000416965,0.000251872,0.007604599,0.004599465,0.020580708
6.66667E-05,0.016234921,0.002588751,-0.000322222,0.016868747,0.003025721,0.049895004,0.030397477
0.000891439,0.019467213,0.012227199,-0.00057019,0.007089982,0.00752449,-0.000226612,0.040486609
-0.004980328,0.018080303,-0.008126083,0.001671003,0.007910504,0.002994014,-0.013645599,-0.005767029
-0.0069375,0.016803125,0.006288889,-0.001165637,0.009049799,0.001493652,0.066811431,0.028508202
-0.004739167,0.02546,0.013972576,8.1897E-05,0.006085468,0.001491425,0.0194798,0
-0.002212222,0.02672381,0.014563444,0.000274688,0.029047948,-0.002985077,0.070058266,-0.014152515
-0.007120202,0.023898485,0.006948592,-0.00038336,0.001310058,-0.00449439,0.034745696,-0.006865016
0.000557528,0.017221875,0.016398031,-0.00018336,0.014122311,0.002998503,-0.064960359,-0.011547472
0.000224143,0.015793548,0.019867472,-0.000459621,0.006829196,0.002989539,0.066237442,0.055899395
-9.03226E-05,0.012045161,0.006197719,-0.000108509,0.009673104,0.005952399,0.008894203,-0.048954922
0.000851075,0.00875303,-0.014104037,-0.000251924,0.019184534,0.00148258,-0.048986191,-0.048444203
-0.003795833,0.007620313,-0.005288646,-5.76152E-05,0.015273352,0.004434597,0.046704144,-0.014634408
0.001072177,0.010667742,0.023309547,6.85637E-05,0.007709026,0,0.05505776,0.021270933
