0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
10000,9910,9818,9625,9558,9522,9574,9436,9447,9129,9114,9068,8783,8841,8695,8460,8282,8210,8059,7948,7996,7916,7939,7755,7674,7697,7760,7716,7619,7601,7336,7229,7190,6971,6953,6947,6720,6581,6568,6418,6488,6302,6226,6206,6066,5726,5651,5332,5059,5135,4971,4816,4911,4738,4657,4642,4601,4600,4551,4258,4118,4159,3999,3692,3681,3367,3158,2885,2801,2779,2505,2167,2236,1938,1746,1426,1437,1272,1283,1340,1359,1146,813,824,506,302,103,125,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,10020,9877,9923,9733,9723,9684,9683,9780,9519,9282,9006,8800,8502,8295,8032,7848,7847,7706,7525,7419,7086,6960,6916,7012,7059,6974,6941,6844,6583,6255,5986,6077,5830,5769,5725,5670,5736,5441,5272,5029,4984,4814,4675,4505,4561,4277,4361,4202,3960,4054,3980,3883,3885,3897,3915,3855,3688,3364,3180,3168,3166,3200,3196,3111,2924,3001,2932,2800,2730,2677,2466,2168,1994,1784,1744,1611,1477,1330,1352,1336,1138,1110,878,879,883,676,420,306,237,0,0,0,0,0,0,0,0,0,0,0
10000,9730,9756,9494,9347,9067,8942,8673,8661,8387,8094,8142,8218,8027,8104,7829,7727,7743,7735,7494,7311,7386,7333,7355,7315,6988,6954,6827,6551,6540,6269,6022,5734,5626,5652,5388,5307,5027,4796,4742,4586,4648,4322,4288,4069,3744,3677,3622,3366,3456,3444,3222,3205,3015,2885,2827,2679,2675,2746,2699,2416,2293,2287,2304,2127,2140,2123,2073,1960,1632,1316,1138,1193,1106,921,811,504,234,269,216,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,9927,9692,9426,9324,9241,9208,9243,9338,9219,9074,9034,8812,8586,8674,8349,8099,7845,7688,7502,7350,7445,7445,7322,7273,7239,7018,6778,6452,6208,6177,5894,5897,5829,5815,5686,5387,5256,5326,5113,4989,4875,4949,4959,4699,4488,4420,4098,3926,3748,3700,3601,3379,3363,3317,3029,2849,2667,2713,2747,2732,2685,2732,2611,2497,2508,2497,2547,2516,2308,2011,1827,1669,1335,1083,1074,785,449,224,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,9727,9669,9665,9453,9115,8930,8944,9017,9098,9017,9103,8915,8613,8348,8197,7893,7745,7595,7358,7145,7010,6952,6934,6723,6677,6621,6523,6409,6265,6248,6101,5855,5926,5660,5345,5444,5527,5390,5339,5207,5062,4819,4515,4444,4371,4423,4164,4074,4147,3920,3689,3612,3453,3358,3186,2917,2671,2524,2204,2302,2251,2045,2088,1853,1533,1575,1237,1225,1259,952,1008,771,589,636,651,586,592,624,374,444,130,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,9969,10003,9985,9843,9883,9904,9706,9434,9232,8904,8596,8391,8428,8174,8078,8058,7725,7385,7437,7158,7111,6978,6675,6496,6586,6249,5915,5866,5752,5471,5505,5377,5088,4748,4747,4725,4584,4569,4389,4480,4197,4284,4024,3874,3797,3461,3211,3285,3373,3243,3270,3271,2979,2959,2996,2670,2599,2323,2161,1989,1651,1529,1550,1236,1039,1014,1013,1084,1131,912,607,400,374,446,382,299,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,9775,9520,9184,9148,8971,8996,8911,8738,8480,8278,8283,8253,8008,8061,7851,7697,7652,7710,7712,7691,7482,7296,7356,7204,7084,6982,6973,6955,6715,6681,6718,6811,6618,6635,6570,6237,6247,5983,5675,5489,5453,5336,5216,4944,4776,4544,4327,4403,4188,4028,4046,3737,3684,3565,3454,3134,2930,2591,2525,2337,2143,2079,1753,1800,1843,1558,1235,1155,855,926,1019,836,604,509,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,9957,9896,9581,9671,9430,9364,9381,9368,9464,9323,9151,8827,8741,8629,8714,8669,8530,8389,8105,8162,8166,8149,8223,8127,7922,7849,7852,7524,7491,7586,7640,7475,7382,7042,7077,6850,6789,6676,6474,6257,6265,6304,6137,5846,5710,5807,5666,5465,5250,4949,4692,4412,4227,3917,3621,3614,3354,3212,3279,3349,3300,3315,3077,3094,3111,2904,2867,2605,2535,2354,2081,2135,2227,2123,2090,2166,1932,1831,1608,1322,1242,1086,892,727,780,653,550,429,495,198,0,0,0,0,0,0,0,0,0,0
10000,10025,9874,9752,9599,9498,9287,9141,8898,8634,8405,8074,7976,7669,7525,7356,7131,6909,6749,6672,6385,6252,6313,6128,6189,6110,6127,5988,5768,5737,5413,5339,5241,4964,4935,4771,4488,4261,4139,4147,3970,3844,3600,3313,3362,3186,2949,2676,2757,2709,2562,2413,2121,2121,2102,1934,1761,1601,1628,1419,1178,862,674,594,563,257,246,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,9673,9472,9549,9285,8968,9038,8756,8493,8525,8382,8391,8298,8224,8056,7924,7706,7503,7196,7122,6891,6812,6679,6610,6553,6326,6090,5981,5786,5606,5506,5388,5063,4841,4922,4962,4671,4459,4400,4316,4285,4220,4059,3788,3791,3506,3392,3081,2858,2712,2651,2616,2449,2128,1901,1671,1503,1592,1684,1460,1337,1394,1343,1093,1164,1251,1333,1022,1071,938,765,497,592,561,329,268,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
