0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
10000,9897,9856,9644,9568,9546,9463,9437,9220,9031,8824,8626,8460,8432,8242,8166,8018,7901,7784,7645,7637,7420,7286,7256,7229,7073,6987,6890,6844,6837,6623,6623,6414,6239,6212,6022,5826,5754,5571,5519,5452,5347,5263,5065,4974,4967,4816,4637,4461,4266,4105,3958,3761,3756,3661,3484,3307,3282,3170,2987,2902,2766,2730,2543,2493,2288,2107,1941,1925,1730,1577,1402,1285,1147,934,821,684,645,482,340,324,167,75,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,9793,9613,9603,9601,9405,9207,9025,8875,8764,8642,8553,8348,8345,8208,8099,8003,7982,7860,7677,7595,7582,7441,7329,7164,7029,6913,6866,6831,6652,6493,6331,6123,6114,5896,5679,5649,5644,5469,5428,5289,5157,5020,4864,4840,4774,4702,4635,4431,4243,4068,3880,3822,3752,3643,3534,3355,3192,3092,3066,2924,2911,2762,2705,2697,2610,2486,2280,2221,2103,2022,1968,1952,1795,1755,1665,1595,1376,1183,1044,923,724,631,437,295,127,122,20,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,9950,9847,9680,9557,9443,9428,9369,9296,9263,9157,8984,8880,8753,8658,8542,8336,8166,8156,8123,7928,7864,7856,7652,7533,7361,7262,7098,6948,6758,6595,6376,6283,6182,6023,5897,5887,5842,5641,5607,5454,5416,5259,5106,4999,4841,4627,4542,4527,4373,4309,4258,4166,4091,4001,3939,3749,3640,3437,3391,3320,3102,3015,3002,2937,2884,2731,2666,2649,2568,2482,2277,2127,2006,1894,1687,1537,1402,1201,1122,998,894,825,720,662,521,335,232,129,93,0,0,0,0,0,0,0,0,0,0,0
10000,9834,9833,9669,9489,9362,9314,9309,9265,9119,9088,8937,8893,8702,8627,8514,8481,8384,8384,8204,8197,8096,7945,7748,7620,7445,7260,7249,7035,6973,6828,6619,6593,6384,6288,6085,5993,5789,5595,5387,5205,5131,4990,4983,4838,4635,4501,4336,4258,4239,4125,3914,3726,3513,3295,3191,3009,2995,2906,2809,2684,2527,2443,2235,2052,2003,1810,1700,1553,1527,1331,1328,1278,1101,918,709,668,534,433,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,9932,9865,9691,9616,9519,9416,9313,9153,9052,8891,8873,8862,8766,8716,8538,8519,8509,8297,8135,8111,8051,7976,7780,7753,7696,7495,7296,7122,7003,6879,6701,6630,6592,6434,6288,6208,6205,5992,5881,5755,5655,5462,5316,5273,5210,5152,4999,4914,4705,4667,4576,4551,4488,4439,4255,4241,4198,4097,3992,3906,3737,3678,3506,3362,3209,3116,3109,3065,2901,2681,2490,2419,2415,2378,2365,2182,2036,1998,1845,1635,1588,1538,1507,1341,1224,1168,948,829,699,495,303,122,66,51,0,0,0,0,0,0
10000,9964,9773,9557,9446,9378,9273,9088,8962,8907,8871,8668,8637,8573,8567,8514,8405,8359,8271,8267,8179,8037,7858,7656,7531,7490,7476,7377,7232,7072,6968,6780,6598,6440,6385,6300,6109,6041,5856,5847,5846,5644,5606,5544,5467,5251,5167,4955,4778,4757,4663,4559,4422,4283,4178,4159,4041,3832,3715,3637,3560,3387,3211,3024,2863,2810,2632,2442,2259,2240,2139,2088,2056,1966,1815,1780,1616,1591,1588,1587,1576,1404,1254,1156,957,739,673,665,553,452,319,177,0,0,0,0,0,0,0,0,0
10000,9823,9702,9621,9526,9465,9451,9398,9211,9021,8848,8742,8671,8632,8417,8233,8188,8106,8097,8030,8009,7798,7586,7455,7440,7274,7272,7112,7069,6880,6821,6765,6558,6371,6164,6113,6034,5848,5780,5574,5378,5167,5075,4994,4907,4844,4712,4667,4578,4403,4337,4268,4092,4083,4083,3998,3950,3739,3593,3545,3458,3238,3142,2968,2850,2632,2626,2409,2294,2197,2103,2023,1965,1803,1609,1442,1364,1307,1212,1082,936,766,602,533,360,221,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,9924,9822,9705,9600,9461,9305,9089,8997,8877,8658,8487,8292,8127,7907,7873,7745,7526,7405,7200,7094,6880,6735,6556,6424,6424,6314,6274,6239,6115,6063,5852,5692,5617,5444,5387,5217,5174,4965,4870,4750,4716,4548,4469,4361,4225,4066,3936,3761,3695,3614,3590,3570,3537,3514,3465,3261,3256,3070,2883,2676,2574,2396,2292,2157,2143,1947,1914,1845,1795,1770,1694,1621,1475,1271,1118,912,909,866,740,528,486,474,359,185,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,9934,9809,9620,9593,9495,9308,9136,9128,8999,8984,8782,8597,8595,8567,8549,8498,8436,8432,8356,8328,8262,8147,8008,7899,7856,7645,7517,7372,7152,6940,6722,6682,6634,6597,6432,6412,6327,6281,6203,5987,5888,5846,5649,5622,5513,5407,5342,5255,5215,5211,5119,4930,4737,4631,4512,4324,4147,3928,3920,3796,3648,3587,3506,3455,3408,3218,3213,3162,3031,2812,2795,2667,2537,2478,2269,2075,2020,1937,1837,1794,1579,1378,1247,1157,1126,979,957,901,884,727,706,486,281,112,0,0,0,0,0,0
10000,9882,9813,9762,9628,9495,9423,9413,9314,9177,9100,8916,8879,8680,8533,8486,8467,8263,8170,8031,7944,7820,7725,7633,7534,7433,7420,7298,7154,6996,6783,6625,6547,6423,6259,6066,5973,5830,5708,5623,5458,5407,5329,5306,5282,5170,5144,5095,5069,4962,4824,4720,4674,4548,4383,4239,4177,4100,3886,3691,3486,3477,3311,3215,3134,2996,2793,2662,2544,2397,2375,2185,2140,2039,1998,1916,1717,1552,1468,1286,1249,1174,961,856,842,635,432,259,225,10,10,0,0,0,0,0,0,0,0,0,0
10000,9821,9735,9645,9600,9573,9436,9220,9105,9010,8929,8843,8656,8541,8331,8246,8176,7996,7825,7801,7741,7550,7504,7284,7232,7122,6987,6979,6954,6763,6554,6412,6245,6237,6069,5856,5726,5515,5454,5317,5296,5249,5222,5096,4942,4877,4835,4787,4609,4525,4445,4242,4140,4036,3900,3819,3695,3517,3399,3376,3324,3169,3073,2926,2787,2763,2754,2570,2514,2374,2302,2158,2048,1877,1677,1541,1492,1315,1203,1111,1040,949,764,710,674,648,536,384,263,261,83,0,0,0,0,0,0,0,0,0,0
10000,9980,9903,9758,9568,9362,9282,9229,9082,9078,8926,8798,8661,8521,8453,8239,8031,7834,7744,7724,7674,7483,7466,7272,7166,7156,7011,6943,6858,6684,6683,6622,6533,6361,6248,6042,6042,5974,5922,5790,5660,5514,5486,5352,5263,5246,5030,5002,4790,4700,4612,4510,4364,4158,4157,3956,3787,3578,3497,3323,3150,3116,3024,2870,2759,2649,2644,2602,2548,2479,2472,2427,2325,2286,2116,1943,1919,1727,1622,1509,1377,1181,1052,988,848,656,523,474,455,405,195,8,0,0,0,0,0,0,0,0,0
10000,9851,9768,9663,9488,9472,9450,9384,9211,9056,8914,8899,8848,8650,8561,8394,8351,8293,8212,8138,8112,7959,7829,7691,7663,7488,7375,7345,7313,7093,6907,6812,6793,6789,6771,6636,6621,6443,6296,6226,6053,5959,5839,5670,5467,5254,5091,4963,4858,4685,4568,4567,4488,4268,4218,4076,3981,3806,3777,3767,3590,3427,3320,3246,3134,2986,2868,2853,2681,2476,2382,2229,2035,1822,1710,1671,1575,1427,1392,1352,1235,1180,985,926,744,702,694,530,430,360,168,0,0,0,0,0,0,0,0,0,0
10000,9865,9814,9780,9755,9656,9625,9538,9468,9286,9178,9050,9036,8904,8749,8687,8541,8396,8272,8224,8089,8083,7930,7791,7715,7611,7591,7426,7329,7190,6974,6935,6844,6677,6616,6444,6407,6367,6235,6151,6005,5845,5707,5563,5355,5245,5089,5042,4993,4816,4646,4484,4410,4210,4159,4081,4016,4003,3791,3729,3636,3428,3345,3270,3142,3111,3110,3024,3020,2932,2761,2580,2493,2319,2257,2121,2012,1990,1922,1781,1656,1534,1402,1209,1093,920,841,751,678,482,348,137,8,0,0,0,0,0,0,0,0
